measure,worlds,repetition,value
1.0,1.0,1.0,0.6107772435897436
2.0,1.0,1.0,0.7820512820512822
3.0,1.0,1.0,0.560096153846154
4.0,1.0,1.0,0.8112980769230769
1.0,2.0,1.0,0.6406249999999999
2.0,2.0,1.0,0.7768429487179485
3.0,2.0,1.0,0.5805288461538464
4.0,2.0,1.0,0.7804487179487178
1.0,3.0,1.0,0.5028044871794872
2.0,3.0,1.0,0.6494391025641025
3.0,3.0,1.0,0.547676282051282
4.0,3.0,1.0,0.6462339743589743
1.0,4.0,1.0,0.5926370548219286
2.0,4.0,1.0,0.7442977190876353
3.0,4.0,1.0,0.5642256902761105
4.0,4.0,1.0,0.7346938775510204
1.0,5.0,1.0,0.6454581832733093
2.0,5.0,1.0,0.7807122849139653
3.0,5.0,1.0,0.5554221688675471
4.0,5.0,1.0,0.7731092436974786
1.0,6.0,1.0,0.6334134615384616
2.0,6.0,1.0,0.714342948717949
3.0,6.0,1.0,0.5052083333333335
4.0,6.0,1.0,0.718349358974359
1.0,7.0,1.0,0.7443910256410258
2.0,7.0,1.0,0.8685897435897435
3.0,7.0,1.0,0.7179487179487181
4.0,7.0,1.0,0.8677884615384615
1.0,8.0,1.0,0.6372195512820513
2.0,8.0,1.0,0.7596153846153847
3.0,8.0,1.0,0.5997596153846155
4.0,8.0,1.0,0.7604166666666666
1.0,9.0,1.0,0.5913461538461539
2.0,9.0,1.0,0.6943108974358974
3.0,9.0,1.0,0.5997596153846155
4.0,9.0,1.0,0.6866987179487178
1.0,10.0,1.0,0.6135817307692306
2.0,10.0,1.0,0.7087339743589742
3.0,10.0,1.0,0.5236378205128206
4.0,10.0,1.0,0.7023237179487178
1.0,11.0,1.0,0.5933493589743589
2.0,11.0,1.0,0.7459935897435895
3.0,11.0,1.0,0.528846153846154
4.0,11.0,1.0,0.753605769230769
1.0,12.0,1.0,0.5943509615384617
2.0,12.0,1.0,0.659054487179487
3.0,12.0,1.0,0.5629006410256411
4.0,12.0,1.0,0.659855769230769
1.0,13.0,1.0,0.6338141025641024
2.0,13.0,1.0,0.7047275641025641
3.0,13.0,1.0,0.4903846153846155
4.0,13.0,1.0,0.7091346153846153
1.0,14.0,1.0,0.6472
2.0,14.0,1.0,0.7827999999999997
3.0,14.0,1.0,0.5676
4.0,14.0,1.0,0.7847999999999998
1.0,15.0,1.0,0.6932773109243695
2.0,15.0,1.0,0.7611044417767107
