measure,worlds,repetition,value
1.0,1.0,1.0,0.5583523891238995
2.0,1.0,1.0,0.5495933434432118
3.0,1.0,1.0,0.5583523891238995
4.0,1.0,1.0,0.5583523891238995
1.0,2.0,1.0,0.6318096017240004
2.0,2.0,1.0,0.6077840077686438
3.0,2.0,1.0,0.6318096017240004
4.0,2.0,1.0,0.6318096017240004
1.0,3.0,1.0,0.6661223295288267
2.0,3.0,1.0,0.6431638931013383
3.0,3.0,1.0,0.6661223295288267
4.0,3.0,1.0,0.6661223295288267
1.0,4.0,1.0,0.668564364008833
2.0,4.0,1.0,0.6478066219703622
3.0,4.0,1.0,0.668564364008833
4.0,4.0,1.0,0.668564364008833
1.0,5.0,1.0,0.696754729028654
2.0,5.0,1.0,0.676949543725224
3.0,5.0,1.0,0.696754729028654
4.0,5.0,1.0,0.696754729028654
1.0,6.0,1.0,0.7117173823396388
2.0,6.0,1.0,0.7031727059887727
3.0,6.0,1.0,0.7117173823396388
4.0,6.0,1.0,0.7117173823396388
1.0,7.0,1.0,0.717242996248703
2.0,7.0,1.0,0.7019805384840504
3.0,7.0,1.0,0.717242996248703
4.0,7.0,1.0,0.717242996248703
1.0,8.0,1.0,0.7166119602522149
2.0,8.0,1.0,0.7059200654481604
3.0,8.0,1.0,0.7166119602522149
4.0,8.0,1.0,0.7166119602522149
1.0,9.0,1.0,0.7133730412110576
2.0,9.0,1.0,0.7133794263974247
3.0,9.0,1.0,0.7133730412110576
4.0,9.0,1.0,0.7133730412110576
1.0,10.0,1.0,0.7197539042754145
2.0,10.0,1.0,0.7288128874344852
3.0,10.0,1.0,0.7197539042754145
4.0,10.0,1.0,0.7197539042754145
1.0,11.0,1.0,0.7276490874504483
2.0,11.0,1.0,0.7256860749727301
3.0,11.0,1.0,0.7276490874504483
4.0,11.0,1.0,0.7276490874504483
1.0,12.0,1.0,0.7400601936839863
2.0,12.0,1.0,0.7436403543778438
3.0,12.0,1.0,0.7400601936839863
4.0,12.0,1.0,0.7400601936839863
1.0,13.0,1.0,0.7347383071274642
2.0,13.0,1.0,0.7355809854470958
3.0,13.0,1.0,0.7347383071274642
4.0,13.0,1.0,0.7347383071274642
1.0,14.0,1.0,0.7432071261340361
2.0,14.0,1.0,0.7484063639024129
3.0,14.0,1.0,0.7432071261340361
4.0,14.0,1.0,0.7432071261340361
1.0,15.0,1.0,0.7437189054726369
2.0,15.0,1.0,0.7471083087237611
3.0,15.0,1.0,0.7437189054726369
4.0,15.0,1.0,0.7437189054726369
1.0,16.0,1.0,0.7460135153111451
2.0,16.0,1.0,0.7570247026897596
3.0,16.0,1.0,0.7460135153111451
4.0,16.0,1.0,0.7460135153111451
1.0,17.0,1.0,0.7518733870753185
2.0,17.0,1.0,0.7565921063133529
3.0,17.0,1.0,0.7518733870753185
4.0,17.0,1.0,0.7518733870753185
1.0,18.0,1.0,0.7509318713917047
2.0,18.0,1.0,0.7587221645781791
3.0,18.0,1.0,0.7509318713917047
4.0,18.0,1.0,0.7509318713917047
1.0,19.0,1.0,0.7559970202463622
2.0,19.0,1.0,0.7576587649985369
3.0,19.0,1.0,0.7559970202463622
4.0,19.0,1.0,0.7559970202463622
1.0,20.0,1.0,0.7568700947135979
2.0,20.0,1.0,0.7606309362279515
3.0,20.0,1.0,0.7568700947135979
4.0,20.0,1.0,0.7568700947135979
