measure,worlds,repetition,value
1.0,1.0,1.0,0.551116010854817
2.0,1.0,1.0,0.5831110490329103
3.0,1.0,1.0,0.5725637188389602
4.0,1.0,1.0,0.5653078191928058
1.0,2.0,1.0,0.5386774682736053
2.0,2.0,1.0,0.5788125548726952
3.0,2.0,1.0,0.5527576688748771
4.0,2.0,1.0,0.5719431585388565
1.0,3.0,1.0,0.5476929856067259
2.0,3.0,1.0,0.570558836831883
3.0,3.0,1.0,0.5614663314443826
4.0,3.0,1.0,0.5662575491526325
1.0,4.0,1.0,0.5295055471306571
2.0,4.0,1.0,0.5680497911511959
3.0,4.0,1.0,0.5620938755420757
4.0,4.0,1.0,0.56396939101285
1.0,5.0,1.0,0.5300215832601696
2.0,5.0,1.0,0.5555714741799025
3.0,5.0,1.0,0.5654937877457632
4.0,5.0,1.0,0.553421861281826
1.0,6.0,1.0,0.5335327373826056
2.0,6.0,1.0,0.5699312927341899
3.0,6.0,1.0,0.5530478622928144
4.0,6.0,1.0,0.5701455290392956
1.0,7.0,1.0,0.5398105062920693
2.0,7.0,1.0,0.567396905845106
3.0,7.0,1.0,0.561078630909623
4.0,7.0,1.0,0.565992896480166
1.0,8.0,1.0,0.5315015497379414
2.0,8.0,1.0,0.5748722962726476
3.0,8.0,1.0,0.5620329502221514
4.0,8.0,1.0,0.5727129060579457
1.0,9.0,1.0,0.5241149865645038
2.0,9.0,1.0,0.5655587703195253
3.0,9.0,1.0,0.563700348524756
4.0,9.0,1.0,0.5644021869263309
1.0,10.0,1.0,0.5246352129725704
2.0,10.0,1.0,0.5711116210391891
3.0,10.0,1.0,0.5526606273445608
4.0,10.0,1.0,0.569520778460638
1.0,11.0,1.0,0.5221616183786947
2.0,11.0,1.0,0.5743836964908078
3.0,11.0,1.0,0.5623593263628385
4.0,11.0,1.0,0.5726892941708569
1.0,12.0,1.0,0.5186214316119936
2.0,12.0,1.0,0.5690737489025458
3.0,12.0,1.0,0.562893487109905
4.0,12.0,1.0,0.5670513076329579
1.0,13.0,1.0,0.5105918269614496
2.0,13.0,1.0,0.5553974778513847
3.0,13.0,1.0,0.5550536089605449
4.0,13.0,1.0,0.5531409130816505
1.0,14.0,1.0,0.5273838029105808
2.0,14.0,1.0,0.5845403330938888
3.0,14.0,1.0,0.5515747465879162
4.0,14.0,1.0,0.5838645010242904
1.0,15.0,1.0,0.5275870979327959
2.0,15.0,1.0,0.570632599036901
3.0,15.0,1.0,0.5571853965466784
4.0,15.0,1.0,0.5703785218293559
1.0,16.0,1.0,0.5231245177854046
2.0,16.0,1.0,0.5732136776012983
3.0,16.0,1.0,0.5671813392928408
4.0,16.0,1.0,0.5739058717109641
1.0,17.0,1.0,0.5283134461382925
2.0,17.0,1.0,0.578475603267087
3.0,17.0,1.0,0.5589607444063105
4.0,17.0,1.0,0.5762573496155587
1.0,18.0,1.0,0.5230690464788355
2.0,18.0,1.0,0.5776785191688616
3.0,18.0,1.0,0.5628892968313512
4.0,18.0,1.0,0.575479820150584
1.0,19.0,1.0,0.5358108189001516
2.0,19.0,1.0,0.5849645489131882
3.0,19.0,1.0,0.5463450129033973
4.0,19.0,1.0,0.5820737888099611
1.0,20.0,1.0,0.5417905791896136
2.0,20.0,1.0,0.5832097533721763
3.0,20.0,1.0,0.5637474392742171
4.0,20.0,1.0,0.5811009125495515
