measure,worlds,repetition,value
1.0,1.0,1.0,0.6199999999999999
2.0,1.0,1.0,0.6927999999999999
3.0,1.0,1.0,0.5290666666666666
4.0,1.0,1.0,0.6853333333333333
1.0,2.0,1.0,0.5469333333333333
2.0,2.0,1.0,0.6762666666666668
3.0,2.0,1.0,0.5877333333333333
4.0,2.0,1.0,0.6799999999999999
1.0,3.0,1.0,0.5909333333333332
2.0,3.0,1.0,0.7770666666666667
3.0,3.0,1.0,0.5136000000000001
4.0,3.0,1.0,0.7951999999999999
1.0,4.0,1.0,0.6261333333333332
2.0,4.0,1.0,0.6858666666666666
3.0,4.0,1.0,0.5296
4.0,4.0,1.0,0.6826666666666668
1.0,5.0,1.0,0.6013333333333335
2.0,5.0,1.0,0.6858666666666666
3.0,5.0,1.0,0.49386666666666673
4.0,5.0,1.0,0.6842666666666666
1.0,6.0,1.0,0.6922666666666667
2.0,6.0,1.0,0.7215999999999999
3.0,6.0,1.0,0.6026666666666667
4.0,6.0,1.0,0.7109333333333333
1.0,7.0,1.0,0.5570666666666666
2.0,7.0,1.0,0.6496
3.0,7.0,1.0,0.5792000000000002
4.0,7.0,1.0,0.6565333333333334
1.0,8.0,1.0,0.5338666666666667
2.0,8.0,1.0,0.5680000000000001
3.0,8.0,1.0,0.5669333333333333
4.0,8.0,1.0,0.5781333333333334
1.0,9.0,1.0,0.6677333333333331
2.0,9.0,1.0,0.6245333333333334
3.0,9.0,1.0,0.512
4.0,9.0,1.0,0.6240000000000001
1.0,10.0,1.0,0.5554666666666667
2.0,10.0,1.0,0.5877333333333333
3.0,10.0,1.0,0.5146666666666666
4.0,10.0,1.0,0.5957333333333333
1.0,11.0,1.0,0.6965333333333333
2.0,11.0,1.0,0.7082666666666668
3.0,11.0,1.0,0.5392
4.0,11.0,1.0,0.6949333333333334
1.0,12.0,1.0,0.44160000000000005
2.0,12.0,1.0,0.5898666666666665
3.0,12.0,1.0,0.5616
4.0,12.0,1.0,0.5978666666666665
1.0,13.0,1.0,0.5552000000000001
2.0,13.0,1.0,0.6229333333333336
3.0,13.0,1.0,0.5791999999999999
4.0,13.0,1.0,0.6208
1.0,14.0,1.0,0.4709333333333333
2.0,14.0,1.0,0.6645333333333334
3.0,14.0,1.0,0.5925333333333334
4.0,14.0,1.0,0.6784000000000001
1.0,15.0,1.0,0.5927999999999999
2.0,15.0,1.0,0.6858666666666667
3.0,15.0,1.0,0.6576
4.0,15.0,1.0,0.6986666666666669
1.0,16.0,1.0,0.6717333333333335
2.0,16.0,1.0,0.7152000000000001
3.0,16.0,1.0,0.5637333333333333
4.0,16.0,1.0,0.712
1.0,17.0,1.0,0.4370666666666666
2.0,17.0,1.0,0.6277333333333333
3.0,17.0,1.0,0.6853333333333335
4.0,17.0,1.0,0.6368
1.0,18.0,1.0,0.6512
2.0,18.0,1.0,0.7055999999999999
3.0,18.0,1.0,0.47146666666666676
4.0,18.0,1.0,0.7061333333333333
1.0,19.0,1.0,0.6650666666666666
2.0,19.0,1.0,0.7082666666666666
3.0,19.0,1.0,0.5338666666666666
4.0,19.0,1.0,0.7141333333333334
1.0,20.0,1.0,0.5594666666666667
2.0,20.0,1.0,0.6218666666666667
3.0,20.0,1.0,0.5946666666666666
4.0,20.0,1.0,0.6192000000000001
1.0,1.0,2.0,0.6096
2.0,1.0,2.0,0.736
3.0,1.0,2.0,0.5210666666666668
4.0,1.0,2.0,0.7413333333333334
1.0,2.0,2.0,0.5218666666666667
2.0,2.0,2.0,0.6287999999999999
3.0,2.0,2.0,0.5418666666666667
4.0,2.0,2.0,0.6421333333333332
1.0,3.0,2.0,0.6442666666666665
2.0,3.0,2.0,0.6848000000000001
3.0,3.0,2.0,0.5376
4.0,3.0,2.0,0.6960000000000001
1.0,4.0,2.0,0.5973333333333333
2.0,4.0,2.0,0.6992
3.0,4.0,2.0,0.5696000000000001
4.0,4.0,2.0,0.6970666666666668
1.0,5.0,2.0,0.4336
2.0,5.0,2.0,0.6768
3.0,5.0,2.0,0.576
4.0,5.0,2.0,0.6943999999999999
